id_client;enfant_conduite_accompagne;usage_vehicule;est_rouge;type_conduite;date_demande;etat_dossier;formule;lat;lon;genre;tranches d'âge;POINTS PERDUS;âge véhicule;devis;revenus 1
9;FAUX;catégorie 2;no;Highly Urban/ Urban;7;complet;dev_integral;48.953027;2.385239;F;05-oct;02-avr;août-15;276-299;90288-95289
9;FAUX;catégorie 2;no;Highly Urban/ Urban;22;complet;dev_integral;47.497717;6.842334;F;55-60;0-2;août-15;276-299;155314-160315
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;10;complet;dev_premium;48.155664;6.011258;M;35-40;0-2;août-15;396-419;50272-55273
9;VRAI;catégorie 2;no;Highly Urban/ Urban;23;complet;dev_express;49.028229;2.013073;F;20-25;0-2;août-15;252-275;
9;FAUX;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_express;43.442719;6.76945;F;85-90;04-juin;août-15;252-275;252-5253
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;12;complet;dev_express;48.298595;4.073517;M;60-65;0-2;août-15;252-275;5254-10255
9;VRAI;catégorie 2;yes;Highly Urban/ Urban;14;complet;dev_premium;46.983827;3.08633;F;55-60;0-2;;396-419;50272-55273
9;FAUX;catégorie 2;no;Highly Urban/ Urban;1;complet;dev_integral;47.654619;6.862631;M;50-55;0-2;août-15;324-347;75282-80283
9;FAUX;catégorie 2;no;Highly Urban/ Urban;9;complet;dev_express;46.175744;1.876993;F;65-70;04-juin;août-15;252-275;95290-100291
8;FAUX;catégorie 2;no;Highly Urban/ Urban;15;complet;dev_express;48.791304;2.256195;M;75-80;0-2;0-7;276-299;-5001
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;9;complet;dev_integral;47.486728;6.839512;F;40-45;0-2;août-15;300-323;140308-145309
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;13;complet;dev_integral;49.239944;1.179956;M;75-80;0-2;0-7;276-299;80284-85285
9;VRAI;catégorie 2;yes;z_Highly Rural/ Rural;14;complet;dev_integral;47.754114;-3.337;F;40-45;0-2;0-7;276-299;50272-55273
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;14;complet;dev_integral;48.06084;-0.759111;F;25-30;06-août;0-7;300-323;25262-30263
9;FAUX;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_express;47.063761;-0.943192;F;50-55;0-2;0-7;252-275;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;22;complet;dev_express;42.695362;2.89134;M;20-25;0-2;0-7;276-299;100292-105293
9;FAUX;catégorie 2;no;Highly Urban/ Urban;19;complet;dev_express;43.225221;2.254618;F;45-50;0-2;16-23;276-299;55274-60275
9;FAUX;catégorie 1;no;z_Highly Rural/ Rural;16;complet;dev_express;48.432186;0.896575;F;05-oct;04-juin;août-15;252-275;75282-80283
9;FAUX;catégorie 2;no;Highly Urban/ Urban;2;complet;dev_premium;45.256862;4.670033;M;50-55;0-2;août-15;372-395;75282-80283
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;20;complet;dev_integral;45.418683;4.682728;F;55-60;04-juin;août-15;276-299;40268-45269
9;FAUX;catégorie 2;no;Highly Urban/ Urban;17;complet;dev_express;48.868775;2.35313;M;30-35;02-avr;août-15;252-275;65278-70279
9;VRAI;catégorie 2;yes;Highly Urban/ Urban;4;complet;dev_express;45.491779;4.26717;F;70-75;0-2;0-7;252-275;25262-30263
9;VRAI;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_express;43.475352;2.638209;F;30-35;0-2;0-7;252-275;30264-35265
9;FAUX;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_integral;48.758151;6.086447;F;70-75;0-2;16-23;276-299;85286-90287
9;FAUX;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_express;50.484451;2.482114;F;55-60;0-2;août-15;252-275;40268-45269
9;FAUX;catégorie 1;no;Highly Urban/ Urban;22;complet;dev_integral;45.741658;3.253533;F;70-75;0-2;0-7;276-299;65278-70279
9;FAUX;catégorie 2;no;Highly Urban/ Urban;20;complet;dev_express;44.951912;1.705754;F;80-85;0-2;0-7;252-275;25262-30263
9;FAUX;catégorie 2;no;Highly Urban/ Urban;17;complet;dev_integral;49.645741;-1.587585;F;05-oct;0-2;0-7;276-299;15258-20259
9;FAUX;catégorie 2;no;Highly Urban/ Urban;21;complet;dev_express;44.839905;-0.538036;M;50-55;04-juin;0-7;252-275;65278-70279
9;FAUX;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_express;48.03576;-3.268816;M;70-75;0-2;0-7;252-275;80284-85285
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;22;complet;dev_express;48.901812;2.401449;M;50-55;02-avr;0-7;252-275;5254-10255
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;15;complet;dev_express;46.175871;1.888059;M;70-75;02-avr;août-15;252-275;20260-25261
9;FAUX;catégorie 1;no;Highly Urban/ Urban;5;complet;dev_integral;47.018339;3.153254;F;25-30;0-2;0-7;300-323;85286-90287
9;FAUX;catégorie 2;no;Highly Urban/ Urban;3;complet;dev_integral;45.317478;4.165315;F;0-5;0-2;août-15;300-323;75282-80283
9;FAUX;catégorie 2;no;Highly Urban/ Urban;2;complet;dev_express;44.004646;1.399464;M;35-40;02-avr;août-15;252-275;195330-200331
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;15;complet;dev_integral;48.075472;-2.957481;M;oct-15;02-avr;août-15;276-299;90288-95289
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;8;complet;dev_premium;46.227295;-1.544319;F;80-85;02-avr;août-15;468-491;75282-80283
7;FAUX;catégorie 2;no;Highly Urban/ Urban;3;complet;dev_express;46.536047;6.141083;M;75-80;0-2;août-15;228-251;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;17;complet;dev_integral;42.556329;9.44314;F;30-35;0-2;16-23;300-323;110296-115297
9;FAUX;catégorie 1;no;Highly Urban/ Urban;20;complet;dev_express;46.219076;5.228766;F;70-75;04-juin;0-7;252-275;70280-75281
9;FAUX;catégorie 1;no;Highly Urban/ Urban;5;complet;dev_premium;44.186064;0.669784;M;50-55;04-juin;août-15;372-395;40268-45269
9;FAUX;catégorie 2;no;Highly Urban/ Urban;6;complet;dev_express;43.607026;1.509539;F;50-55;04-juin;0-7;228-251;45270-50271
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;17;complet;dev_premium;44.809545;3.27609;M;60-65;0-2;0-7;348-371;110296-115297
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;1;complet;dev_express;47.704835;6.82074;M;80-85;0-2;0-7;252-275;252-5253
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;8;complet;dev_express;43.883494;5.870013;M;60-65;0-2;août-15;276-299;100292-105293
9;FAUX;catégorie 1;no;Highly Urban/ Urban;18;complet;dev_express;46.232664;5.230284;F;65-70;0-2;0-7;252-275;35266-40267
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;20;complet;dev_express;43.612092;1.323356;M;60-65;0-2;;228-251;10256-15257
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;3;complet;dev_express;48.435931;0.022641;M;60-65;02-avr;août-15;276-299;55274-60275
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;14;complet;dev_express;46.88626;3.456534;M;40-45;0-2;août-15;252-275;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;5;complet;dev_premium;43.015794;1.611391;M;50-55;0-2;16-23;444-467;
9;VRAI;catégorie 2;no;z_Highly Rural/ Rural;22;complet;dev_express;44.515646;3.504971;F;20-25;0-2;0-7;252-275;20260-25261
9;FAUX;catégorie 2;no;Highly Urban/ Urban;7;complet;dev_premium;45.45993;4.359339;M;50-55;0-2;août-15;540-563;45270-50271
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;3;complet;dev_integral;47.42445;1.14641;M;55-60;0-2;0-7;276-299;35266-40267
9;FAUX;catégorie 1;no;Highly Urban/ Urban;16;complet;dev_express;48.242352;7.380656;M;80-85;02-avr;0-7;252-275;50272-55273
9;FAUX;catégorie 2;no;Highly Urban/ Urban;14;complet;dev_premium;49.855555;2.235448;F;oct-15;0-2;0-7;348-371;20260-25261
9;FAUX;catégorie 2;no;Highly Urban/ Urban;9;complet;dev_premium;43.960388;5.781885;F;05-oct;06-août;0-7;444-467;80284-85285
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;4;complet;dev_express;48.723581;5.289147;M;60-65;0-2;0-7;252-275;50272-55273
9;FAUX;catégorie 2;no;Highly Urban/ Urban;16;complet;dev_integral;44.238204;5.066257;F;70-75;04-juin;août-15;276-299;60276-65277
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;3;complet;dev_integral;46.407473;6.720074;F;50-55;0-2;0-7;300-323;35266-40267
9;FAUX;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_express;47.900793;1.908376;M;60-65;06-août;0-7;252-275;30264-35265
9;VRAI;catégorie 2;yes;Highly Urban/ Urban;16;complet;dev_integral;43.904683;-0.522618;F;35-40;0-2;0-7;276-299;55274-60275
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;19;complet;dev_integral;44.397349;2.684969;M;40-45;0-2;août-15;324-347;65278-70279
9;FAUX;catégorie 1;no;Highly Urban/ Urban;10;complet;dev_integral;47.564509;-0.505041;M;15-20;0-2;0-7;324-347;60276-65277
9;FAUX;catégorie 1;no;Highly Urban/ Urban;7;complet;dev_integral;43.14982;-0.77592;M;65-70;02-avr;août-15;300-323;10256-15257
9;FAUX;catégorie 2;no;Highly Urban/ Urban;2;complet;dev_integral;46.076568;4.765115;F;20-25;0-2;0-7;300-323;55274-60275
9;FAUX;catégorie 2;no;Highly Urban/ Urban;2;complet;dev_integral;45.153634;1.532821;M;50-55;06-août;août-15;300-323;120300-125301
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;3;complet;dev_express;44.366564;2.586337;M;oct-15;04-juin;16-23;276-299;210336-215337
8;FAUX;catégorie 2;yes;Highly Urban/ Urban;22;complet;dev_premium;44.935056;6.593699;M;60-65;0-2;août-15;444-467;70280-75281
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;13;complet;dev_integral;46.546081;0.3462;M;20-25;0-2;août-15;276-299;
9;VRAI;catégorie 2;no;Highly Urban/ Urban;1;complet;dev_integral;47.344573;0.302846;F;70-75;0-2;0-7;324-347;15258-20259
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;10;complet;dev_integral;48.149103;1.687499;M;40-45;0-2;août-15;300-323;65278-70279
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;5;complet;dev_express;44.368169;3.735959;F;55-60;04-juin;août-15;252-275;130304-135305
8;FAUX;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_premium;48.426153;-4.553299;M;90-95;0-2;août-15;348-371;10256-15257
9;FAUX;catégorie 1;no;Highly Urban/ Urban;4;complet;dev_integral;43.514084;1.384091;M;50-55;0-2;août-15;276-299;70280-75281
9;VRAI;catégorie 1;no;Highly Urban/ Urban;19;complet;dev_express;43.584597;5.005438;M;55-60;0-2;août-15;252-275;105294-110295
9;FAUX;catégorie 2;no;Highly Urban/ Urban;12;complet;dev_express;47.897709;1.828306;M;65-70;0-2;août-15;252-275;5254-10255
9;FAUX;catégorie 1;no;Highly Urban/ Urban;12;complet;dev_express;47.861388;6.331156;F;65-70;02-avr;0-7;276-299;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;4;complet;dev_premium;47.772576;1.295163;F;55-60;0-2;août-15;348-371;90288-95289
8;VRAI;catégorie 2;no;z_Highly Rural/ Rural;4;complet;dev_premium;43.967841;5.01632;F;50-55;0-2;0-7;468-491;20260-25261
9;VRAI;catégorie 2;no;z_Highly Rural/ Rural;2;complet;dev_express;42.576905;9.436045;F;75-80;0-2;août-15;252-275;40268-45269
8;VRAI;catégorie 2;no;Highly Urban/ Urban;1;complet;dev_integral;43.987421;4.214446;F;60-65;0-2;0-7;300-323;10256-15257
9;VRAI;catégorie 1;no;Highly Urban/ Urban;22;complet;dev_integral;45.938041;6.004202;M;05-oct;02-avr;0-7;324-347;55274-60275
9;FAUX;catégorie 2;no;Highly Urban/ Urban;22;complet;dev_integral;43.787071;5.764427;M;0-5;0-2;août-15;300-323;75282-80283
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;7;complet;dev_integral;48.917187;2.458577;M;70-75;0-2;août-15;300-323;-5001
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;8;complet;dev_express;48.450264;1.45098;M;55-60;02-avr;août-15;252-275;90288-95289
9;FAUX;catégorie 2;no;Highly Urban/ Urban;19;complet;dev_integral;48.405405;6.83963;M;70-75;0-2;août-15;300-323;105294-110295
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;5;complet;dev_integral;45.921257;5.227783;F;45-50;0-2;août-15;324-347;65278-70279
9;FAUX;catégorie 2;no;Highly Urban/ Urban;1;complet;dev_integral;45.47994;4.53159;F;30-35;04-juin;août-15;324-347;25262-30263
9;FAUX;catégorie 2;no;Highly Urban/ Urban;14;complet;dev_integral;44.09977;6.203045;M;30-35;0-2;août-15;276-299;90288-95289
9;FAUX;catégorie 2;no;Highly Urban/ Urban;16;complet;dev_integral;43.61298;2.247288;M;65-70;02-avr;0-7;276-299;105294-110295
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;11;complet;dev_express;48.847688;2.291508;M;15-20;06-août;0-7;252-275;-5001
9;FAUX;catégorie 1;no;Highly Urban/ Urban;15;complet;dev_premium;42.812316;2.503672;M;20-25;0-2;;492-515;55274-60275
9;FAUX;catégorie 2;no;Highly Urban/ Urban;17;complet;dev_express;44.197982;2.343647;M;55-60;0-2;août-15;252-275;130304-135305
9;FAUX;catégorie 2;no;Highly Urban/ Urban;9;complet;dev_express;48.425737;0.755209;F;70-75;0-2;août-15;252-275;-5001
9;FAUX;catégorie 2;no;Highly Urban/ Urban;22;complet;dev_vip;47.315654;5.115032;F;70-75;08-oct;août-15;612-635;35266-40267
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;12;complet;dev_express;48.438202;5.850566;M;05-oct;0-2;0-7;252-275;5254-10255
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;9;complet;dev_express;45.745762;-0.997877;M;55-60;02-avr;0-7;252-275;25262-30263
9;VRAI;catégorie 2;no;Highly Urban/ Urban;15;complet;dev_integral;46.132312;6.411798;F;05-oct;0-2;août-15;276-299;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_integral;44.800447;3.277826;F;90-95;0-2;16-23;300-323;90288-95289
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;13;complet;dev_integral;48.311152;4.043086;M;oct-15;02-avr;août-15;324-347;45270-50271
9;VRAI;catégorie 1;no;Highly Urban/ Urban;20;complet;dev_express;44.419698;0.732617;M;35-40;04-juin;août-15;252-275;125302-130303
9;FAUX;catégorie 1;no;Highly Urban/ Urban;23;complet;dev_express;48.674556;4.993071;M;50-55;04-juin;0-7;276-299;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;17;complet;dev_premium;48.199369;0.024407;F;45-50;06-août;0-7;516-539;
9;FAUX;catégorie 1;no;Highly Urban/ Urban;10;complet;dev_integral;47.333486;-2.501841;M;50-55;02-avr;août-15;300-323;85286-90287
9;FAUX;catégorie 2;no;Highly Urban/ Urban;8;complet;dev_integral;46.330483;-0.470392;F;50-55;0-2;août-15;276-299;110296-115297
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;2;complet;dev_integral;48.279671;4.066302;F;05-oct;0-2;août-15;300-323;145310-150311
8;FAUX;catégorie 2;no;Highly Urban/ Urban;8;complet;dev_premium;43.232592;2.948134;M;80-85;04-juin;août-15;540-563;45270-50271
9;FAUX;catégorie 1;no;Highly Urban/ Urban;21;complet;dev_express;44.466113;1.451971;M;85-90;06-août;;252-275;-5001
8;FAUX;catégorie 2;no;Highly Urban/ Urban;20;complet;dev_express;48.928491;2.193954;M;50-55;02-avr;août-15;252-275;25262-30263
9;FAUX;catégorie 2;no;Highly Urban/ Urban;8;complet;dev_integral;46.113747;6.331712;M;60-65;0-2;0-7;300-323;80284-85285
9;VRAI;catégorie 2;no;z_Highly Rural/ Rural;16;complet;dev_integral;47.235747;6.009528;M;40-45;0-2;août-15;276-299;20260-25261
9;FAUX;catégorie 2;no;Highly Urban/ Urban;10;complet;dev_integral;46.347826;2.213672;F;70-75;0-2;16-23;276-299;90288-95289
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;9;complet;dev_express;46.941545;4.312789;F;75-80;0-2;août-15;252-275;95290-100291
9;FAUX;catégorie 2;no;Highly Urban/ Urban;8;complet;dev_integral;45.988796;4.014117;M;75-80;0-2;août-15;324-347;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;10;complet;dev_express;44.612859;2.021869;F;60-65;02-avr;0-7;252-275;60276-65277
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;3;complet;dev_express;48.12253;-1.804768;F;60-65;02-avr;0-7;252-275;
9;FAUX;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_express;49.793838;3.058011;M;30-35;0-2;0-7;252-275;30264-35265
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;9;complet;dev_integral;48.583182;2.460317;F;75-80;0-2;août-15;276-299;35266-40267
9;VRAI;catégorie 1;yes;Highly Urban/ Urban;3;complet;dev_integral;48.349263;-1.208034;M;80-85;0-2;août-15;300-323;140308-145309
9;FAUX;catégorie 2;no;Highly Urban/ Urban;15;complet;dev_express;43.915117;2.135306;F;65-70;04-juin;0-7;252-275;10256-15257
9;FAUX;catégorie 2;no;Highly Urban/ Urban;16;complet;dev_integral;48.393998;1.808696;M;70-75;0-2;août-15;300-323;75282-80283
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;20;complet;dev_integral;47.467156;-0.541804;M;80-85;0-2;août-15;324-347;115298-120299
8;FAUX;catégorie 1;no;Highly Urban/ Urban;6;complet;dev_integral;42.676753;2.907119;M;65-70;06-août;0-7;276-299;80284-85285
9;VRAI;catégorie 2;no;Highly Urban/ Urban;21;complet;dev_integral;49.010632;2.108437;M;65-70;0-2;août-15;276-299;85286-90287
9;FAUX;catégorie 2;no;Highly Urban/ Urban;11;complet;dev_premium;44.850327;0.482738;M;30-35;02-avr;août-15;444-467;110296-115297
9;VRAI;catégorie 2;no;z_Highly Rural/ Rural;9;complet;dev_integral;47.423566;5.568435;F;45-50;0-2;août-15;324-347;155314-160315
9;FAUX;catégorie 2;no;Highly Urban/ Urban;14;complet;dev_integral;47.117895;-1.938083;F;70-75;0-2;août-15;300-323;45270-50271
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;14;complet;dev_express;42.695274;2.770978;F;55-60;0-2;août-15;228-251;-5001
9;VRAI;catégorie 2;no;Highly Urban/ Urban;15;complet;dev_express;44.858924;0.478944;F;50-55;0-2;0-7;252-275;-5001
9;FAUX;catégorie 2;no;Highly Urban/ Urban;23;complet;dev_integral;44.829042;-0.572423;F;90-95;0-2;16-23;276-299;70280-75281
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;21;complet;dev_integral;50.6911;3.146228;F;20-25;0-2;0-7;276-299;40268-45269
9;FAUX;catégorie 1;no;Highly Urban/ Urban;17;complet;dev_integral;49.288758;-0.655639;F;55-60;0-2;;276-299;120300-125301
9;FAUX;catégorie 1;no;Highly Urban/ Urban;23;complet;dev_integral;48.903846;2.311276;F;70-75;02-avr;août-15;324-347;25262-30263
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;6;complet;dev_express;47.231987;5.988418;M;35-40;0-2;août-15;228-251;75282-80283
9;FAUX;catégorie 1;no;Highly Urban/ Urban;23;complet;dev_integral;44.199962;6.62944;F;25-30;02-avr;0-7;324-347;5254-10255
9;FAUX;catégorie 1;no;z_Highly Rural/ Rural;8;complet;dev_integral;43.675732;4.111614;M;55-60;0-2;août-15;300-323;85286-90287
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;21;complet;dev_integral;47.506858;6.998247;F;50-55;0-2;16-23;324-347;60276-65277
8;FAUX;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_express;45.527777;4.615197;M;50-55;02-avr;0-7;252-275;252-5253
9;FAUX;catégorie 1;no;Highly Urban/ Urban;3;complet;dev_integral;43.090919;2.619155;M;75-80;06-août;;276-299;110296-115297
9;FAUX;catégorie 1;no;Highly Urban/ Urban;8;complet;dev_express;50.273589;2.758621;F;55-60;0-2;août-15;252-275;-5001
9;FAUX;catégorie 2;no;Highly Urban/ Urban;1;complet;dev_express;49.04741;-0.417362;M;30-35;0-2;16-23;252-275;
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;3;complet;dev_integral;44.934926;4.889577;M;60-65;0-2;0-7;276-299;10256-15257
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;20;complet;dev_premium;44.372708;4.644794;F;55-60;0-2;0-7;516-539;45270-50271
9;FAUX;catégorie 1;no;Highly Urban/ Urban;19;complet;dev_express;43.529699;5.444423;F;80-85;0-2;;276-299;60276-65277
9;VRAI;catégorie 1;no;z_Highly Rural/ Rural;7;complet;dev_express;47.588454;-3.080188;F;25-30;0-2;0-7;276-299;35266-40267
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;2;complet;dev_integral;45.566547;-0.049981;M;50-55;0-2;août-15;300-323;170320-175321
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;3;complet;dev_premium;43.307268;-0.371803;F;85-90;0-2;août-15;324-347;110296-115297
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;22;complet;dev_express;43.995567;7.14744;F;65-70;0-2;0-7;276-299;252-5253
8;VRAI;catégorie 1;no;Highly Urban/ Urban;15;complet;dev_premium;48.739826;0.916685;M;20-25;06-août;0-7;444-467;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_integral;50.02587;3.300454;F;65-70;0-2;0-7;324-347;20260-25261
9;FAUX;catégorie 2;no;Highly Urban/ Urban;22;complet;dev_integral;46.285879;2.61876;F;20-25;0-2;août-15;324-347;15258-20259
